Input.image_url,Answer.mood.label
0001B.jpg,Calm
0001B.jpg,Calm
0002B.jpg,Calm
0002B.jpg,Excited
0003B.jpg,Calm
0003B.jpg,None of the Above
0004B.jpg,Apathetic
0004B.jpg,Calm
0005B.jpg,Calm
0005B.jpg,Calm
0006B.jpg,Sad
0006B.jpg,Sad
0007B.jpg,Calm
0007B.jpg,Excited
0008B.jpg,Calm
0008B.jpg,Happy
0009B.jpg,Calm
0009B.jpg,Calm
0010B.jpg,Sad
0010B.jpg,None of the Above
0011B.jpg,Happy
0011B.jpg,Happy
0012B.jpg,Calm
0012B.jpg,Calm
0013B.jpg,Calm
0013B.jpg,Calm
0014B.jpg,Calm
0014B.jpg,Calm
0015B.jpg,Sad
0015B.jpg,Sad
0016B.jpg,Happy
0016B.jpg,Calm
0017B.jpg,Calm
0017B.jpg,Calm
0018B.jpg,Calm
0018B.jpg,Calm
0019B.jpg,Happy
0019B.jpg,Excited
0020B.jpg,Calm
0020B.jpg,Apathetic
0021B.jpg,Calm
0021B.jpg,Calm
0022B.jpg,Calm
0022B.jpg,Calm
0023B.jpg,Calm
0023B.jpg,Calm
0024B.jpg,Calm
0024B.jpg,Excited
0025B.jpg,Excited
0025B.jpg,Calm
0026B.jpg,Calm
0026B.jpg,Calm
0027B.jpg,Apathetic
0027B.jpg,Apathetic
0028B.jpg,Excited
0028B.jpg,Apathetic
0029B.jpg,Calm
0029B.jpg,Calm
0030B.jpg,Calm
0030B.jpg,Calm
0031B.jpg,Sad
0031B.jpg,Sad
0032B.jpg,Calm
0032B.jpg,Calm
0033B.jpg,Calm
0033B.jpg,Calm
0034B.jpg,None of the Above
0034B.jpg,Calm
0035B.jpg,Calm
0035B.jpg,Calm
0036B.jpg,Calm
0036B.jpg,Calm
0037B.jpg,Calm
0037B.jpg,Calm
0038B.jpg,Happy
0038B.jpg,Happy
0039B.jpg,Calm
0039B.jpg,Excited
0040B.jpg,Sad
0040B.jpg,Sad
0041B.jpg,Apathetic
0041B.jpg,Calm
0042B.jpg,Calm
0042B.jpg,Calm
0043B.jpg,Calm
0043B.jpg,Calm
0044B.jpg,Calm
0044B.jpg,None of the Above
0045B.jpg,Calm
0045B.jpg,Calm
0046B.jpg,Calm
0046B.jpg,Calm
0047B.jpg,Happy
0047B.jpg,Happy
0048B.jpg,None of the Above
0048B.jpg,None of the Above
0049B.jpg,Calm
0049B.jpg,Calm
0050B.jpg,Calm
0050B.jpg,Happy
0051B.jpg,Calm
0051B.jpg,Apathetic
0052B.jpg,Happy
0052B.jpg,Sad
0053B.jpg,Sad
0053B.jpg,Sad
0054B.jpg,Angry
0054B.jpg,Apathetic
0055B.jpg,Excited
0055B.jpg,Happy
0056B.jpg,Calm
0056B.jpg,Calm
0057B.jpg,Calm
0057B.jpg,Apathetic
0058B.jpg,Calm
0058B.jpg,Calm
0059B.jpg,Excited
0059B.jpg,Apathetic
0060B.jpg,Apathetic
0060B.jpg,Apathetic
0061B.jpg,Happy
0061B.jpg,Happy
0062B.jpg,Sad
0062B.jpg,Calm
0063B.jpg,Calm
0063B.jpg,Calm
0064B.jpg,Calm
0064B.jpg,Calm
0065B.jpg,Happy
0065B.jpg,Happy
0066B.jpg,Calm
0066B.jpg,Calm
0067B.jpg,None of the Above
0067B.jpg,Calm
0068B.jpg,Happy
0068B.jpg,Happy
0069B.jpg,Calm
0069B.jpg,Calm
0070B.jpg,Sad
0070B.jpg,Sad
0071B.jpg,Happy
0071B.jpg,Calm
0072B.jpg,Sad
0072B.jpg,Sad
