Input.image_url,Answer.clothing.label
0001B.jpg,Dress
0001B.jpg,Dressing Gown
0002B.jpg,Blazer
0002B.jpg,"Coat, Jacket and Blazer"
0003B.jpg,Dressing Gown
0003B.jpg,Dress
0004B.jpg,Choir & Religious Robe
0004B.jpg,Choir & Religious Robe
0005B.jpg,"Coat, Jacket and Blazer"
0005B.jpg,Choir & Religious Robe
0006B.jpg,Choir & Religious Robe
0006B.jpg,Choir & Religious Robe
0007B.jpg,Hat
0007B.jpg,"Coat, Jacket and Blazer"
0008B.jpg,Choir & Religious Robe
0008B.jpg,Choir & Religious Robe
0009B.jpg,Choir & Religious Robe
0009B.jpg,"Coat, Jacket and Blazer"
0010B.jpg,Choir & Religious Robe
0010B.jpg,Choir & Religious Robe
0011B.jpg,Dress
0011B.jpg,Dress
0012B.jpg,Choir & Religious Robe
0012B.jpg,Dress
0013B.jpg,"Coat, Jacket and Blazer"
0013B.jpg,Blazer
0014B.jpg,"Coat, Jacket and Blazer"
0014B.jpg,Dress
0015B.jpg,Dressing Gown
0015B.jpg,Dress
0016B.jpg,Dress
0016B.jpg,Dress
0017B.jpg,"Coat, Jacket and Blazer"
0017B.jpg,Dress
0018B.jpg,Choir & Religious Robe
0018B.jpg,Choir & Religious Robe
0019B.jpg,Pant
0019B.jpg,"Coat, Jacket and Blazer"
0020B.jpg,"Coat, Jacket and Blazer"
0020B.jpg,"Coat, Jacket and Blazer"
0021B.jpg,Dress
0021B.jpg,Dress
0022B.jpg,None of the Above
0022B.jpg,None of the Above
0023B.jpg,Dress
0023B.jpg,Dress
0024B.jpg,Dressing Gown
0024B.jpg,Dress
0025B.jpg,None of the Above
0025B.jpg,None of the Above
0026B.jpg,None of the Above
0026B.jpg,None of the Above
0027B.jpg,Dress
0027B.jpg,Dress
0028B.jpg,Choir & Religious Robe
0028B.jpg,"Coat, Jacket and Blazer"
0029B.jpg,Dress
0029B.jpg,Dress
0030B.jpg,Dress
0030B.jpg,Dress
0031B.jpg,Shirt
0031B.jpg,Dressing Gown
0032B.jpg,Choir & Religious Robe
0032B.jpg,Choir & Religious Robe
0033B.jpg,Blazer
0033B.jpg,Blazer
0034B.jpg,Dress
0034B.jpg,Shirt
0035B.jpg,Choir & Religious Robe
0035B.jpg,Dress
0036B.jpg,Dress
0036B.jpg,Dress
0037B.jpg,Dress
0037B.jpg,Dress
0038B.jpg,Choir & Religious Robe
0038B.jpg,"Coat, Jacket and Blazer"
0039B.jpg,Dress
0039B.jpg,Dressing Gown
0040B.jpg,Dress
0040B.jpg,Dress
0041B.jpg,Dress
0041B.jpg,Dress
0042B.jpg,Choir & Religious Robe
0042B.jpg,Choir & Religious Robe
0043B.jpg,Dress
0043B.jpg,Dress
0044B.jpg,Dress
0044B.jpg,Dress
0045B.jpg,Dress
0045B.jpg,Dress
0046B.jpg,Dress
0046B.jpg,Dress
0047B.jpg,Dress
0047B.jpg,Dress
0048B.jpg,Dress
0048B.jpg,Dress
0049B.jpg,Dress
0049B.jpg,Dress
0050B.jpg,Dress
0050B.jpg,Dressing Gown
0051B.jpg,Dressing Gown
0051B.jpg,Dressing Gown
0052B.jpg,Dress
0052B.jpg,Dressing Gown
0053B.jpg,Naked
0053B.jpg,Naked
0054B.jpg,Dress
0054B.jpg,Dress
0055B.jpg,Choir & Religious Robe
0055B.jpg,Choir & Religious Robe
0056B.jpg,Dress
0056B.jpg,Dressing Gown
0057B.jpg,Choir & Religious Robe
0057B.jpg,Legging
0058B.jpg,Hat
0058B.jpg,Hat
0059B.jpg,Pant
0059B.jpg,Short
0060B.jpg,Choir & Religious Robe
0060B.jpg,Choir & Religious Robe
0061B.jpg,Dress
0061B.jpg,Dress
0062B.jpg,Dress
0062B.jpg,Dress
0063B.jpg,"Coat, Jacket and Blazer"
0063B.jpg,Dress
0064B.jpg,Dress
0064B.jpg,Dress
0065B.jpg,Dress
0065B.jpg,Dress
0066B.jpg,Dress
0066B.jpg,Dress
0067B.jpg,Dress
0067B.jpg,Dress
0068B.jpg,Hat
0068B.jpg,Hat
0069B.jpg,Dressing Gown
0069B.jpg,Shirt
0070B.jpg,Dress
0070B.jpg,Dress
0071B.jpg,Dressing Gown
0071B.jpg,Dress
0072B.jpg,Dress
0072B.jpg,Choir & Religious Robe
0073B.jpg,Dressing Gown
0073B.jpg,Dress
0074B.jpg,Dress
0074B.jpg,Dressing Gown
0075B.jpg,Dress
0075B.jpg,Dressing Gown
0076B.jpg,Dress
0076B.jpg,Dress
0077B.jpg,Dress
0077B.jpg,Hat
0078B.jpg,Dress
0078B.jpg,Dress
0079B.jpg,Dress
0079B.jpg,Dress
0080B.jpg,"Coat, Jacket and Blazer"
0080B.jpg,Hat
0081B.jpg,Dress
0081B.jpg,Dress
0082B.jpg,Choir & Religious Robe
0082B.jpg,Choir & Religious Robe
0083B.jpg,Choir & Religious Robe
0083B.jpg,Choir & Religious Robe
0084B.jpg,Dressing Gown
0084B.jpg,Dress
0085B.jpg,Dress
0085B.jpg,Dress
0086B.jpg,Dress
0086B.jpg,Dressing Gown
0087B.jpg,Dress
0087B.jpg,Dress
0088B.jpg,Dress
0088B.jpg,Dress
0089B.jpg,Dress
0089B.jpg,Dress
0090B.jpg,Naked
0090B.jpg,Naked
0091B.jpg,Dress
0091B.jpg,Dress
0092B.jpg,"Coat, Jacket and Blazer"
0092B.jpg,"Coat, Jacket and Blazer"
0093B.jpg,None of the Above
0093B.jpg,None of the Above
0094B.jpg,Dress
0094B.jpg,Dress
0095B.jpg,Dress
0095B.jpg,Dress
0096B.jpg,Dress
0096B.jpg,Dress
0097B.jpg,Dress
0097B.jpg,Dressing Gown
0098B.jpg,Dress
0098B.jpg,None of the Above
0099B.jpg,Blazer
0099B.jpg,Blazer
0100B.jpg,None of the Above
0100B.jpg,Dress
0101B.jpg,Dress
0101B.jpg,Dress
0102B.jpg,None of the Above
0102B.jpg,Dress
0103B.jpg,Dress
0103B.jpg,"Coat, Jacket and Blazer"
0104B.jpg,Dress
0104B.jpg,Dress
0105B.jpg,Naked
0105B.jpg,Naked
0106B.jpg,Naked
0106B.jpg,Naked
0107B.jpg,Blazer
0107B.jpg,Blazer
0108B.jpg,Dress
0108B.jpg,Dress
0109B.jpg,Dress
0109B.jpg,Dress
0110B.jpg,"Coat, Jacket and Blazer"
0110B.jpg,"Coat, Jacket and Blazer"
0111B.jpg,"Coat, Jacket and Blazer"
0111B.jpg,Hat
0112B.jpg,Shirt
0112B.jpg,Shirt
0113B.jpg,"Coat, Jacket and Blazer"
0113B.jpg,"Coat, Jacket and Blazer"
0114B.jpg,Choir & Religious Robe
0114B.jpg,"Coat, Jacket and Blazer"
0115B.jpg,Dress
0115B.jpg,Dress
0116B.jpg,Dress
0116B.jpg,Dress
0117B.jpg,Dress
0117B.jpg,Dress
0118B.jpg,Dress
0118B.jpg,Dress
0119B.jpg,None of the Above
0119B.jpg,Dress
0120B.jpg,Dress
0120B.jpg,Dress
0121B.jpg,Hat
0121B.jpg,Dress
0122B.jpg,Hat
0122B.jpg,Hat
0123B.jpg,Dress
0123B.jpg,Dress
0124B.jpg,Choir & Religious Robe
0124B.jpg,Dress
0125B.jpg,Dress
0125B.jpg,Dress
0126B.jpg,Short
0126B.jpg,Short
0127B.jpg,Dress
0127B.jpg,Dress
0128B.jpg,Dress
0128B.jpg,Dress
0129B.jpg,Naked
0129B.jpg,Naked
0130B.jpg,Hat
0130B.jpg,Blazer
0131B.jpg,Dress
0131B.jpg,Dress
0132B.jpg,Choir & Religious Robe
0132B.jpg,"Coat, Jacket and Blazer"
0133B.jpg,Dress
0133B.jpg,Dress
0134B.jpg,Shirt
0134B.jpg,None of the Above
0135B.jpg,"Coat, Jacket and Blazer"
0135B.jpg,Choir & Religious Robe
0136B.jpg,"Coat, Jacket and Blazer"
0136B.jpg,Choir & Religious Robe
0137B.jpg,Naked
0137B.jpg,Naked
0138B.jpg,Hat
0138B.jpg,Dress
0139B.jpg,None of the Above
0139B.jpg,Dressing Gown
0140B.jpg,Choir & Religious Robe
0140B.jpg,Choir & Religious Robe
0141B.jpg,None of the Above
0141B.jpg,None of the Above
0142B.jpg,Dress
0142B.jpg,Dress
0143B.jpg,Dress
0143B.jpg,Dress
0144B.jpg,Dress
0144B.jpg,Dress
0145B.jpg,Sweater
0145B.jpg,Choir & Religious Robe
0146B.jpg,Dress
0146B.jpg,Dress
0147B.jpg,Dress
0147B.jpg,Dress
0148B.jpg,Naked
0148B.jpg,Naked
0149B.jpg,Dress
0149B.jpg,None of the Above
0150B.jpg,Choir & Religious Robe
0150B.jpg,Choir & Religious Robe
0151B.jpg,Jean
0151B.jpg,Pant
0152B.jpg,Dress
0152B.jpg,Dressing Gown
0153B.jpg,Dress
0153B.jpg,Dress
0154B.jpg,Hat
0154B.jpg,Hat
0155B.jpg,Dress
0155B.jpg,Dress
0156B.jpg,Dress
0156B.jpg,Dressing Gown
0157B.jpg,Dress
0157B.jpg,Dress
0158B.jpg,Choir & Religious Robe
0158B.jpg,Choir & Religious Robe
0159B.jpg,Dress
0159B.jpg,Dress
0160B.jpg,Dress
0160B.jpg,Dress
0161B.jpg,Hat
0161B.jpg,None of the Above
0162B.jpg,"Coat, Jacket and Blazer"
0162B.jpg,Dress
0163B.jpg,Shirt
0163B.jpg,Shirt
0164B.jpg,Dress
0164B.jpg,Dress
0165B.jpg,Dress
0165B.jpg,Dress
0166B.jpg,Dress
0166B.jpg,Dress
0167B.jpg,Dress
0167B.jpg,Dress
0168B.jpg,"Coat, Jacket and Blazer"
0168B.jpg,Blazer
0169B.jpg,Blazer
0169B.jpg,Hat
0170B.jpg,None of the Above
0170B.jpg,None of the Above
0171B.jpg,Dress
0171B.jpg,Dress
0172B.jpg,Dress
0172B.jpg,Dress
0173B.jpg,Dressing Gown
0173B.jpg,Choir & Religious Robe
0174B.jpg,Dress
0174B.jpg,Dress
0175B.jpg,"Coat, Jacket and Blazer"
0175B.jpg,"Coat, Jacket and Blazer"
0176B.jpg,Shirt
0176B.jpg,Dress
0177B.jpg,Choir & Religious Robe
0177B.jpg,Shirt
0178B.jpg,Naked
0178B.jpg,Dressing Gown
0179B.jpg,Dress
0179B.jpg,"Coat, Jacket and Blazer"
0180B.jpg,Dressing Gown
0180B.jpg,Dress
0181B.jpg,Dress
0181B.jpg,Dress
0182B.jpg,Hat
0182B.jpg,None of the Above
0183B.jpg,Choir & Religious Robe
0183B.jpg,Choir & Religious Robe
0184B.jpg,Choir & Religious Robe
0184B.jpg,Choir & Religious Robe
0185B.jpg,Choir & Religious Robe
0185B.jpg,Choir & Religious Robe
0186B.jpg,"Coat, Jacket and Blazer"
0186B.jpg,"Coat, Jacket and Blazer"
0187B.jpg,Dress
0187B.jpg,Dress
0188B.jpg,Choir & Religious Robe
0188B.jpg,"Coat, Jacket and Blazer"
0189B.jpg,Dress
0189B.jpg,Hat
0190B.jpg,Dress
0190B.jpg,Dress
0191B.jpg,Dress
0191B.jpg,Dressing Gown
0192B.jpg,Hat
0192B.jpg,"Coat, Jacket and Blazer"
0193B.jpg,Choir & Religious Robe
0193B.jpg,Dressing Gown
0194B.jpg,Hat
0194B.jpg,"Coat, Jacket and Blazer"
0195B.jpg,Hat
0195B.jpg,None of the Above
0196B.jpg,Hat
0196B.jpg,Hat
0197B.jpg,Dressing Gown
0197B.jpg,Dress
0198B.jpg,"Coat, Jacket and Blazer"
0198B.jpg,Blazer
0199B.jpg,Dress
0199B.jpg,Dress
0200B.jpg,Dress
0200B.jpg,Dressing Gown
0201B.jpg,Dress
0201B.jpg,Dress
0202B.jpg,Dress
0202B.jpg,Choir & Religious Robe
0203B.jpg,Dress
0203B.jpg,Dress
0204B.jpg,Dress
0204B.jpg,Dress
0205B.jpg,"Coat, Jacket and Blazer"
0205B.jpg,"Coat, Jacket and Blazer"
0206B.jpg,Dress
0206B.jpg,Dress
0207B.jpg,Naked
0207B.jpg,Naked
0208B.jpg,Pant
0208B.jpg,Shirt
0209B.jpg,Dress
0209B.jpg,Dress
0210B.jpg,Dress
0210B.jpg,Dress
0211B.jpg,"Coat, Jacket and Blazer"
0211B.jpg,"Coat, Jacket and Blazer"
0212B.jpg,Blazer
0212B.jpg,Blazer
0213B.jpg,Hat
0213B.jpg,Hat
0214B.jpg,Dress
0214B.jpg,Hat
0215B.jpg,"Coat, Jacket and Blazer"
0215B.jpg,Hat
0216B.jpg,Naked
0216B.jpg,Naked
0217B.jpg,Choir & Religious Robe
0217B.jpg,"Coat, Jacket and Blazer"
0218B.jpg,Dress
0218B.jpg,Dress
0219B.jpg,Dressing Gown
0219B.jpg,Dress
0220B.jpg,Choir & Religious Robe
0220B.jpg,Choir & Religious Robe
0221B.jpg,Dress
0221B.jpg,Dressing Gown
0222B.jpg,Dress
0222B.jpg,Dress
0223B.jpg,Naked
0223B.jpg,Naked
0224B.jpg,Shirt
0224B.jpg,Choir & Religious Robe
0225B.jpg,Dress
0225B.jpg,Dress
0226B.jpg,Dress
0226B.jpg,Dress
0227B.jpg,Dress
0227B.jpg,Dress
0228B.jpg,Choir & Religious Robe
0228B.jpg,Dress
0229B.jpg,Dressing Gown
0229B.jpg,Choir & Religious Robe
0230B.jpg,Choir & Religious Robe
0230B.jpg,Choir & Religious Robe
0231B.jpg,Dress
0231B.jpg,Dress
0232B.jpg,"Coat, Jacket and Blazer"
0232B.jpg,Pant
0233B.jpg,Dressing Gown
0233B.jpg,Blazer
0234B.jpg,Dress
0234B.jpg,Choir & Religious Robe
0235B.jpg,"Coat, Jacket and Blazer"
0235B.jpg,Pant
0236B.jpg,Dress
0236B.jpg,Dress
0237B.jpg,Dress
0237B.jpg,Dress
0238B.jpg,Dress
0238B.jpg,Dress
0239B.jpg,Dressing Gown
0239B.jpg,Dressing Gown
0240B.jpg,Dress
0240B.jpg,Dress
0241B.jpg,Blazer
0241B.jpg,Shirt
0242B.jpg,Hat
0242B.jpg,Sweater
0243B.jpg,Choir & Religious Robe
0243B.jpg,Choir & Religious Robe
0244B.jpg,Dress
0244B.jpg,Dress
0245B.jpg,Pant
0245B.jpg,Hat
0246B.jpg,Dress
0246B.jpg,Dress
0247B.jpg,Dress
0247B.jpg,Dress
0248B.jpg,Choir & Religious Robe
0248B.jpg,Legging
0249B.jpg,Naked
0249B.jpg,Naked
0250B.jpg,Dress
0250B.jpg,Dressing Gown
0251B.jpg,None of the Above
0251B.jpg,Dress
0252B.jpg,Dress
0252B.jpg,Dress
0253B.jpg,Dress
0253B.jpg,Dress
0254B.jpg,Dress
