Input.image_url,Answer.time.label
0001B.jpg,Before 1970
0001B.jpg,Before 1970
0002B.jpg,After 1970
0002B.jpg,Before 1970
0003B.jpg,Before 1970
0003B.jpg,Before 1970
0004B.jpg,Before 1970
0004B.jpg,Before 1970
0005B.jpg,Before 1970
0005B.jpg,Before 1970
0006B.jpg,Before 1970
0006B.jpg,Before 1970
0007B.jpg,Before 1970
0007B.jpg,Before 1970
0008B.jpg,Before 1970
0008B.jpg,Before 1970
0009B.jpg,Before 1970
0009B.jpg,Before 1970
0010B.jpg,Before 1970
0010B.jpg,Before 1970
0011B.jpg,Before 1970
0011B.jpg,Before 1970
0012B.jpg,Before 1970
0012B.jpg,Before 1970
0013B.jpg,Before 1970
0013B.jpg,Before 1970
0014B.jpg,Before 1970
0014B.jpg,Before 1970
0015B.jpg,Before 1970
0015B.jpg,Before 1970
0016B.jpg,Before 1970
0016B.jpg,Before 1970
0017B.jpg,Before 1970
0017B.jpg,Before 1970
0018B.jpg,Before 1970
0018B.jpg,Before 1970
0019B.jpg,Before 1970
0019B.jpg,Before 1970
0020B.jpg,Before 1970
0020B.jpg,Before 1970
0021B.jpg,Before 1970
0021B.jpg,Before 1970
0022B.jpg,After 1970
0022B.jpg,After 1970
0023B.jpg,Before 1970
0023B.jpg,Before 1970
0024B.jpg,Before 1970
0024B.jpg,After 1970
0025B.jpg,Before 1970
0025B.jpg,Before 1970
0026B.jpg,After 1970
0026B.jpg,Before 1970
0027B.jpg,After 1970
0027B.jpg,Before 1970
0028B.jpg,Before 1970
0028B.jpg,Before 1970
0029B.jpg,Before 1970
0029B.jpg,Before 1970
0030B.jpg,Before 1970
0030B.jpg,Before 1970
0031B.jpg,Before 1970
0031B.jpg,Before 1970
0032B.jpg,Before 1970
0032B.jpg,Before 1970
0033B.jpg,Before 1970
0033B.jpg,After 1970
0034B.jpg,Before 1970
0034B.jpg,Before 1970
0035B.jpg,Before 1970
0035B.jpg,Before 1970
0036B.jpg,Before 1970
0036B.jpg,Before 1970
0037B.jpg,Before 1970
0037B.jpg,After 1970
0038B.jpg,Before 1970
0038B.jpg,Before 1970
0039B.jpg,Before 1970
0039B.jpg,Before 1970
0040B.jpg,Before 1970
0040B.jpg,Before 1970
0041B.jpg,After 1970
0041B.jpg,After 1970
0042B.jpg,Before 1970
0042B.jpg,Before 1970
0043B.jpg,Before 1970
0043B.jpg,Before 1970
0044B.jpg,Before 1970
0044B.jpg,After 1970
0045B.jpg,Before 1970
0045B.jpg,Before 1970
0046B.jpg,Before 1970
0046B.jpg,Before 1970
0047B.jpg,Before 1970
0047B.jpg,Before 1970
0048B.jpg,After 1970
0048B.jpg,Before 1970
0049B.jpg,After 1970
0049B.jpg,Before 1970
0050B.jpg,Before 1970
0050B.jpg,Before 1970
0051B.jpg,Before 1970
0051B.jpg,Before 1970
0052B.jpg,Before 1970
0052B.jpg,Before 1970
0053B.jpg,Before 1970
0053B.jpg,Before 1970
0054B.jpg,Before 1970
0054B.jpg,After 1970
0055B.jpg,Before 1970
0055B.jpg,Before 1970
0056B.jpg,Before 1970
0056B.jpg,Before 1970
0057B.jpg,Before 1970
0057B.jpg,Before 1970
0058B.jpg,Before 1970
0058B.jpg,Before 1970
0059B.jpg,Before 1970
0059B.jpg,After 1970
0060B.jpg,Before 1970
0060B.jpg,Before 1970
0061B.jpg,Before 1970
0061B.jpg,Before 1970
0062B.jpg,Before 1970
0062B.jpg,Before 1970
0063B.jpg,Before 1970
0063B.jpg,Before 1970
0064B.jpg,Before 1970
0064B.jpg,Before 1970
0065B.jpg,After 1970
0065B.jpg,Before 1970
0066B.jpg,Before 1970
0066B.jpg,Before 1970
0067B.jpg,Before 1970
0067B.jpg,Before 1970
0068B.jpg,Before 1970
0068B.jpg,Before 1970
0069B.jpg,Before 1970
0069B.jpg,Before 1970
0070B.jpg,Before 1970
0070B.jpg,Before 1970
0071B.jpg,Before 1970
0071B.jpg,After 1970
0072B.jpg,Before 1970
0072B.jpg,Before 1970
0073B.jpg,Before 1970
0073B.jpg,Before 1970
0074B.jpg,Before 1970
0074B.jpg,Before 1970
0075B.jpg,Before 1970
0075B.jpg,Before 1970
0076B.jpg,Before 1970
0076B.jpg,Before 1970
0077B.jpg,Before 1970
0077B.jpg,Before 1970
0078B.jpg,Before 1970
0078B.jpg,Before 1970
0079B.jpg,Before 1970
0079B.jpg,Before 1970
0080B.jpg,Before 1970
0080B.jpg,Before 1970
0081B.jpg,Before 1970
0081B.jpg,After 1970
0082B.jpg,Before 1970
0082B.jpg,Before 1970
0083B.jpg,Before 1970
0083B.jpg,Before 1970
0084B.jpg,Before 1970
0084B.jpg,After 1970
0085B.jpg,Before 1970
0085B.jpg,Before 1970
0086B.jpg,Before 1970
0086B.jpg,Before 1970
0087B.jpg,After 1970
0087B.jpg,After 1970
0088B.jpg,After 1970
0088B.jpg,After 1970
0089B.jpg,Before 1970
0089B.jpg,Before 1970
0090B.jpg,Before 1970
0090B.jpg,Before 1970
0091B.jpg,Before 1970
0091B.jpg,Before 1970
0092B.jpg,Before 1970
0092B.jpg,Before 1970
0093B.jpg,Before 1970
0093B.jpg,Before 1970
0094B.jpg,Before 1970
0094B.jpg,Before 1970
0095B.jpg,Before 1970
0095B.jpg,After 1970
0096B.jpg,Before 1970
0096B.jpg,Before 1970
0097B.jpg,Before 1970
0097B.jpg,Before 1970
0098B.jpg,Before 1970
0098B.jpg,Before 1970
0099B.jpg,Before 1970
0099B.jpg,Before 1970
0100B.jpg,After 1970
0100B.jpg,After 1970
0101B.jpg,Before 1970
0101B.jpg,Before 1970
0102B.jpg,After 1970
0102B.jpg,Before 1970
0103B.jpg,Before 1970
0103B.jpg,Before 1970
0104B.jpg,Before 1970
0104B.jpg,Before 1970
0105B.jpg,Before 1970
0105B.jpg,Before 1970
0106B.jpg,Before 1970
0106B.jpg,Before 1970
0107B.jpg,After 1970
0107B.jpg,After 1970
0108B.jpg,Before 1970
0108B.jpg,Before 1970
0109B.jpg,Before 1970
0109B.jpg,Before 1970
0110B.jpg,Before 1970
0110B.jpg,Before 1970
0111B.jpg,Before 1970
0111B.jpg,Before 1970
0112B.jpg,Before 1970
0112B.jpg,Before 1970
0113B.jpg,After 1970
0113B.jpg,Before 1970
0114B.jpg,Before 1970
