Input.image_url,Answer.hair.label
0001B.jpg,Black hair
0001B.jpg,Black hair
0002B.jpg,None of the Above
0002B.jpg,Blond hair
0003B.jpg,None of the Above
0003B.jpg,None of the Above
0004B.jpg,Black hair
0004B.jpg,None of the Above
0005B.jpg,None of the Above
0005B.jpg,None of the Above
0006B.jpg,None of the Above
0006B.jpg,None of the Above
0007B.jpg,None of the Above
0007B.jpg,Wavy hair
0008B.jpg,Black hair
0008B.jpg,Black hair
0009B.jpg,Wavy hair
0009B.jpg,Wavy hair
0010B.jpg,Short hair
0010B.jpg,Short hair
0011B.jpg,Blond hair
0011B.jpg,None of the Above
0012B.jpg,Wavy hair
0012B.jpg,Wavy hair
0013B.jpg,Wavy hair
0013B.jpg,Wavy hair
0014B.jpg,Blond hair
0014B.jpg,Blond hair
0015B.jpg,Straight hair
0015B.jpg,Straight hair
0016B.jpg,Black hair
0016B.jpg,Black hair
0017B.jpg,None of the Above
0017B.jpg,Short hair
0018B.jpg,Black hair
0018B.jpg,Black hair
0019B.jpg,None of the Above
0019B.jpg,None of the Above
0020B.jpg,Blond hair
0020B.jpg,Blond hair
0021B.jpg,Blond hair
0021B.jpg,Blond hair
0022B.jpg,Short hair
0022B.jpg,Short hair
0023B.jpg,Black hair
0023B.jpg,Black hair
0024B.jpg,Black hair
0024B.jpg,Black hair
0025B.jpg,Black hair
0025B.jpg,Black hair
0026B.jpg,Black hair
0026B.jpg,Black hair
0027B.jpg,Black hair
0027B.jpg,Black hair
0028B.jpg,Black hair
0028B.jpg,Black hair
0029B.jpg,Black hair
0029B.jpg,Black hair
0030B.jpg,Black hair
0030B.jpg,Wavy hair
0031B.jpg,Black hair
0031B.jpg,Black hair
0032B.jpg,None of the Above
0032B.jpg,Straight hair
0033B.jpg,Black hair
0033B.jpg,Black hair
0034B.jpg,Black hair
0034B.jpg,Blond hair
0035B.jpg,Straight hair
0035B.jpg,None of the Above
0036B.jpg,Blond hair
0036B.jpg,None of the Above
0037B.jpg,Wavy hair
0037B.jpg,Wavy hair
0038B.jpg,Blond hair
0038B.jpg,Short hair
0039B.jpg,Black hair
0039B.jpg,Black hair
0040B.jpg,Straight hair
0040B.jpg,Blond hair
0041B.jpg,Short hair
0041B.jpg,Short hair
0042B.jpg,None of the Above
0042B.jpg,Wavy hair
0043B.jpg,Blond hair
0043B.jpg,Wavy hair
0044B.jpg,Blond hair
0044B.jpg,Blond hair
0045B.jpg,Blond hair
0045B.jpg,Blond hair
0046B.jpg,Blond hair
0046B.jpg,Black hair
0047B.jpg,None of the Above
0047B.jpg,Blond hair
0048B.jpg,Blond hair
0048B.jpg,Blond hair
0049B.jpg,None of the Above
0049B.jpg,Black hair
0050B.jpg,Blond hair
0050B.jpg,Blond hair
