Input.image_url,Answer.pose.label
0001B.jpg,Sitting
0001B.jpg,Sitting
0002B.jpg,Riding
0002B.jpg,Sitting
0003B.jpg,Standing
0003B.jpg,Sitting
0004B.jpg,Sitting
0004B.jpg,Sitting
0005B.jpg,Sitting
0005B.jpg,None of the Above
0006B.jpg,None of the Above
0006B.jpg,Standing
0007B.jpg,Sitting
0007B.jpg,Sitting
0008B.jpg,Sitting
0008B.jpg,Sitting
0009B.jpg,Sitting
0009B.jpg,Sitting
0010B.jpg,Sitting
0010B.jpg,Sitting
0011B.jpg,Sitting
0011B.jpg,Sitting
0012B.jpg,Sitting
0012B.jpg,None of the Above
0013B.jpg,Sitting
0013B.jpg,Lying
0014B.jpg,Standing
0014B.jpg,Sitting
0015B.jpg,Sitting
0015B.jpg,Sitting
0016B.jpg,Standing
0016B.jpg,Standing
0017B.jpg,Sitting
0017B.jpg,Sitting
0018B.jpg,Sitting
0018B.jpg,Sitting
0019B.jpg,Sitting
0019B.jpg,Sitting
0020B.jpg,Standing
0020B.jpg,Standing
0021B.jpg,Standing
0021B.jpg,Standing
0022B.jpg,None of the Above
0022B.jpg,None of the Above
0023B.jpg,Bowing
0023B.jpg,Sitting
0024B.jpg,None of the Above
0024B.jpg,None of the Above
0025B.jpg,Standing
0025B.jpg,Standing
0026B.jpg,None of the Above
0026B.jpg,None of the Above
0027B.jpg,Sitting
0027B.jpg,Standing
0028B.jpg,Sitting
0028B.jpg,None of the Above
0029B.jpg,Sitting
0029B.jpg,Sitting
0030B.jpg,Standing
0030B.jpg,Standing
0031B.jpg,Sitting
0031B.jpg,Standing
0032B.jpg,Standing
0032B.jpg,Standing
0033B.jpg,Sitting
0033B.jpg,Sitting
0034B.jpg,Sitting
0034B.jpg,Sitting
0035B.jpg,Standing
0035B.jpg,Sitting
0036B.jpg,Sitting
0036B.jpg,Sitting
0037B.jpg,Sitting
0037B.jpg,Standing
0038B.jpg,Sitting
0038B.jpg,Sitting
0039B.jpg,Sitting
0039B.jpg,Standing
0040B.jpg,Squatting or crouching
0040B.jpg,Sitting
0041B.jpg,Sitting
0041B.jpg,Sitting
0042B.jpg,Sitting
0042B.jpg,Sitting
0043B.jpg,Standing
0043B.jpg,Standing
0044B.jpg,Sitting
0044B.jpg,Sitting
0045B.jpg,Lying
0045B.jpg,Lying
0046B.jpg,Standing
0046B.jpg,Sitting
0047B.jpg,Standing
0047B.jpg,Standing
0048B.jpg,Sitting
0048B.jpg,Sitting
0049B.jpg,Sitting
0049B.jpg,Sitting
0050B.jpg,Sitting
0050B.jpg,Lying
0051B.jpg,Lying
0051B.jpg,Lying
0052B.jpg,Lying
0052B.jpg,Lying
0053B.jpg,Lying
0053B.jpg,Lying
0054B.jpg,Standing
0054B.jpg,Standing
0055B.jpg,Sitting
0055B.jpg,Standing
0056B.jpg,Sitting
0056B.jpg,Lying
0057B.jpg,Standing
0057B.jpg,Standing
0058B.jpg,Sitting
0058B.jpg,Sitting
0059B.jpg,Sitting
0059B.jpg,Sitting
0060B.jpg,Sitting
0060B.jpg,Sitting
0061B.jpg,Standing
0061B.jpg,Standing
0062B.jpg,Standing
0062B.jpg,Sitting
0063B.jpg,None of the Above
0063B.jpg,Squatting or crouching
0064B.jpg,Sitting
0064B.jpg,Sitting
0065B.jpg,Standing
0065B.jpg,Standing
0066B.jpg,Lying
0066B.jpg,Lying
0067B.jpg,Standing
0067B.jpg,Standing
0068B.jpg,Sitting
0068B.jpg,Sitting
0069B.jpg,None of the Above
0069B.jpg,Standing
0070B.jpg,Standing
0070B.jpg,Standing
0071B.jpg,None of the Above
0071B.jpg,None of the Above
0072B.jpg,Sitting
0072B.jpg,Sitting
0073B.jpg,None of the Above
0073B.jpg,None of the Above
0074B.jpg,Sitting
0074B.jpg,Sitting
0075B.jpg,Standing
0075B.jpg,Standing
0076B.jpg,Sitting
0076B.jpg,Sitting
0077B.jpg,Sitting
0077B.jpg,None of the Above
0078B.jpg,Bowing
0078B.jpg,Sitting
0079B.jpg,Standing
0079B.jpg,Sitting
0080B.jpg,Standing
0080B.jpg,Standing
0081B.jpg,Standing
0081B.jpg,Standing
0082B.jpg,Standing
0082B.jpg,Sitting
0083B.jpg,Standing
0083B.jpg,Standing
0084B.jpg,Sitting
0084B.jpg,Sitting
0085B.jpg,Standing
0085B.jpg,Standing
0086B.jpg,Standing
0086B.jpg,Sitting
0087B.jpg,Sitting
0087B.jpg,Sitting
0088B.jpg,Sitting
0088B.jpg,Sitting
0089B.jpg,Sitting
0089B.jpg,Sitting
0090B.jpg,Sitting
0090B.jpg,Sitting
0091B.jpg,None of the Above
0091B.jpg,None of the Above
0092B.jpg,Sitting
0092B.jpg,None of the Above
0093B.jpg,Sitting
0093B.jpg,Standing
0094B.jpg,Sitting
0094B.jpg,Sitting
0095B.jpg,Standing
0095B.jpg,Standing
0096B.jpg,Standing
0096B.jpg,Standing
0097B.jpg,Standing
0097B.jpg,Standing
0098B.jpg,Sitting
0098B.jpg,Sitting
0099B.jpg,Standing
0099B.jpg,Standing
0100B.jpg,Lying
0100B.jpg,Lying
0101B.jpg,Sitting
0101B.jpg,Sitting
0102B.jpg,Sitting
0102B.jpg,Standing
0103B.jpg,None of the Above
0103B.jpg,Sitting
0104B.jpg,Sitting
0104B.jpg,Sitting
0105B.jpg,Lying
0105B.jpg,Lying
0106B.jpg,Sitting
0106B.jpg,Lying
0107B.jpg,None of the Above
0107B.jpg,Lying
0108B.jpg,Sitting
0108B.jpg,Sitting
0109B.jpg,Sitting
0109B.jpg,Sitting
0110B.jpg,Sitting
0110B.jpg,Sitting
0111B.jpg,Sitting
0111B.jpg,Sitting
0112B.jpg,Standing
0112B.jpg,Standing
0113B.jpg,Sitting
0113B.jpg,Sitting
0114B.jpg,Standing
0114B.jpg,Standing
0115B.jpg,Sitting
0115B.jpg,Sitting
0116B.jpg,Standing
0116B.jpg,Standing
0117B.jpg,Sitting
0117B.jpg,Sitting
0118B.jpg,Sitting
0118B.jpg,Sitting
0119B.jpg,Sitting
0119B.jpg,Sitting
0120B.jpg,Sitting
0120B.jpg,Sitting
0121B.jpg,Standing
0121B.jpg,Standing
0122B.jpg,Sitting
0122B.jpg,Sitting
0123B.jpg,Sitting
0123B.jpg,Sitting
0124B.jpg,None of the Above
0124B.jpg,None of the Above
0125B.jpg,Standing
0125B.jpg,Standing
0126B.jpg,Sitting
0126B.jpg,Sitting
0127B.jpg,Sitting
0127B.jpg,Sitting
0128B.jpg,Sitting
0128B.jpg,Sitting
0129B.jpg,Lying
0129B.jpg,Sitting
0130B.jpg,Standing
0130B.jpg,Standing
0131B.jpg,Sitting
0131B.jpg,None of the Above
0132B.jpg,Sitting
0132B.jpg,Sitting
0133B.jpg,Sitting
0133B.jpg,Sitting
0134B.jpg,Sitting
0134B.jpg,Sitting
0135B.jpg,Standing
0135B.jpg,Standing
0136B.jpg,Standing
0136B.jpg,Standing
0137B.jpg,Standing
0137B.jpg,Standing
0138B.jpg,Sitting
0138B.jpg,Sitting
0139B.jpg,Sitting
0139B.jpg,Sitting
0140B.jpg,Sitting
0140B.jpg,Bowing
0141B.jpg,None of the Above
0141B.jpg,Sitting
0142B.jpg,Sitting
0142B.jpg,Sitting
0143B.jpg,Sitting
0143B.jpg,Sitting
0144B.jpg,Sitting
0144B.jpg,Sitting
0145B.jpg,None of the Above
0145B.jpg,Sitting
0146B.jpg,Standing
0146B.jpg,Squatting or crouching
0147B.jpg,Sitting
0147B.jpg,Sitting
0148B.jpg,Sitting
0148B.jpg,Sitting
0149B.jpg,Sitting
0149B.jpg,Standing
0150B.jpg,Standing
0150B.jpg,Sitting
0151B.jpg,Standing
0151B.jpg,Squatting or crouching
0152B.jpg,Sitting
0152B.jpg,Sitting
0153B.jpg,Standing
0153B.jpg,Standing
0154B.jpg,Standing
0154B.jpg,Sitting
0155B.jpg,Sitting
0155B.jpg,Standing
0156B.jpg,Sitting
0156B.jpg,Sitting
0157B.jpg,Sitting
0157B.jpg,Sitting
0158B.jpg,Standing
0158B.jpg,Standing
0159B.jpg,Standing
0159B.jpg,Standing
0160B.jpg,Sitting
0160B.jpg,Sitting
0161B.jpg,Sitting
0161B.jpg,Sitting
0162B.jpg,Sitting
0162B.jpg,Sitting
0163B.jpg,Sitting
0163B.jpg,Sitting
0164B.jpg,Sitting
0164B.jpg,Sitting
0165B.jpg,Sitting
0165B.jpg,Sitting
0166B.jpg,Sitting
0166B.jpg,Sitting
0167B.jpg,Sitting
0167B.jpg,Sitting
0168B.jpg,Standing
0168B.jpg,Standing
0169B.jpg,Sitting
0169B.jpg,Standing
0170B.jpg,Lying
0170B.jpg,Sitting
0171B.jpg,Sitting
0171B.jpg,Sitting
0172B.jpg,Bowing
0172B.jpg,Sitting
0173B.jpg,Sitting
0173B.jpg,Standing
0174B.jpg,Standing
0174B.jpg,Standing
0175B.jpg,Standing
0175B.jpg,Standing
0176B.jpg,Sitting
0176B.jpg,Sitting
0177B.jpg,Standing
0177B.jpg,None of the Above
0178B.jpg,Sitting
0178B.jpg,Sitting
0179B.jpg,Sitting
0179B.jpg,Sitting
0180B.jpg,Sitting
0180B.jpg,Sitting
0181B.jpg,Sitting
0181B.jpg,Sitting
0182B.jpg,Sitting
0182B.jpg,Sitting
0183B.jpg,Sitting
0183B.jpg,Standing
0184B.jpg,Sitting
0184B.jpg,Standing
0185B.jpg,Sitting
0185B.jpg,Sitting
0186B.jpg,Standing
0186B.jpg,Sitting
0187B.jpg,Sitting
0187B.jpg,Kneeling
0188B.jpg,Sitting
0188B.jpg,Standing
0189B.jpg,Sitting
0189B.jpg,Sitting
0190B.jpg,None of the Above
0190B.jpg,Sitting
0191B.jpg,Sitting
0191B.jpg,Sitting
0192B.jpg,Sitting
0192B.jpg,Sitting
0193B.jpg,Sitting
0193B.jpg,Sitting
0194B.jpg,Sitting
0194B.jpg,Sitting
0195B.jpg,Bowing
0195B.jpg,Bowing
0196B.jpg,Standing
0196B.jpg,Standing
0197B.jpg,Sitting
0197B.jpg,Sitting
0198B.jpg,Standing
0198B.jpg,Sitting
0199B.jpg,Sitting
0199B.jpg,Sitting
0200B.jpg,Sitting
0200B.jpg,Sitting
0201B.jpg,Sitting
0201B.jpg,Sitting
0202B.jpg,Sitting
0202B.jpg,Sitting
0203B.jpg,Sitting
0203B.jpg,Sitting
0204B.jpg,Sitting
0204B.jpg,Sitting
0205B.jpg,None of the Above
0205B.jpg,Standing
0206B.jpg,Sitting
0206B.jpg,None of the Above
